stop_id,stop_name,stop_lat,stop_lon
1,Fontäne am Sendlinger Tor,48.13349269207973,11.565904403563675
2,Monopteros im Englischen Garten,48.14990741396133,11.59092739623911
3,Marienplatz,48.137649715960364,11.576063568089292
4,Chinesischer Garten Stuttgart,48.78777537821431,9.176400439544567
5,Brandenburger Tor,52.51663152258375,13.381927912483931
6,Alexander Platz,52.52172598784616,13.413230057015493
7,Fähre Einstieg,47.65579961460893,8.88126441908387
8,Fähre Ausstieg,47.668640524608335,8.981438245966292
9,Rosa Luxembourg Platz (Coordinate falsch),52.52825061167894,3.410170926760973
10,Biergarten Englischer Garten,48.152280597547055,11.592027090902024
